Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1995	7739
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1996	6846
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1997	5750
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1998	6178
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1999	5808
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2000	6422
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2001	7043
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2002	7755
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2003	8365
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2004	9125
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2005	10184
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2006	11263
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2007	12628
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2008	14101
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2009	13918
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2010	14682
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2011	15740
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2012	16319
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2013	16654
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2014	17619
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2015	18386
